trade_id,entry_time,entry_price,exit_time,exit_price,holding_duration_hours,dollar_pnl,percentage_return
1,2026-01-03 16:59:59,90105.24,2026-01-04 16:59:59,91321.0,24.0,1215.7599999999948,1.3492667019143334
2,2026-01-05 00:59:59,92405.46,2026-01-06 04:59:59,93801.07,28.0,1395.6100000000006,1.5103111872393693
3,2026-01-06 15:59:59,93648.99,2026-01-06 16:59:59,92692.32,1.0,-956.6699999999983,-1.0215486573854116
4,2026-01-07 02:59:59,92949.77,2026-01-07 03:59:59,92815.83,1.0,-133.94000000000233,-0.1440993345115349
5,2026-01-08 18:59:59,91117.35,2026-01-09 08:59:59,90033.52,14.0,-1083.8300000000017,-1.1894880612748304
6,2026-01-09 17:59:59,91422.23,2026-01-09 22:59:59,90630.08,5.0,-792.1499999999942,-0.866474160606227
7,2026-01-10 10:59:59,90828.0,2026-01-10 17:59:59,90544.96,7.0,-283.0399999999936,-0.31162196679437354
8,2026-01-11 04:59:59,90785.48,2026-01-11 22:59:59,90526.02,18.0,-259.45999999999185,-0.2857946006343656
9,2026-01-12 01:59:59,91412.44,2026-01-12 11:59:59,90620.96,10.0,-791.4799999999959,-0.865834015589121
10,2026-01-12 18:59:59,91691.8,2026-01-14 12:59:59,95077.56,42.0,3385.7599999999948,3.6925439352264813
11,2026-01-14 14:59:59,96493.15,2026-01-15 04:59:59,96316.27,14.0,-176.8799999999901,-0.18330834883096894
12,2026-01-15 12:59:59,96981.65,2026-01-15 18:59:59,95835.0,6.0,-1146.6499999999942,-1.1823370709819787
13,2026-01-16 11:59:59,95429.09,2026-01-16 12:59:59,95458.55,1.0,29.460000000006403,0.03087108972746822
14,2026-01-16 23:59:59,95550.94,2026-01-17 09:59:59,95260.65,10.0,-290.29000000000815,-0.30380653502729343
15,2026-01-17 15:59:59,95573.64,2026-01-17 23:59:59,95147.77,8.0,-425.86999999999534,-0.4455935758018585
16,2026-01-18 13:59:59,95146.82,2026-01-18 15:59:59,95119.28,2.0,-27.54000000000815,-0.028944740349712315
17,2026-01-18 18:59:59,95439.6,2026-01-18 23:59:59,93673.14,5.0,-1766.4600000000064,-1.8508669357373733
18,2026-01-19 16:59:59,93301.86,2026-01-19 23:59:59,92631.0,7.0,-670.8600000000006,-0.7190210355935032
19,2026-01-21 08:59:59,89197.35,2026-01-21 11:59:59,88789.99,3.0,-407.3600000000006,-0.45669518208780924
20,2026-01-21 15:59:59,90288.04,2026-01-21 16:59:59,87602.4,1.0,-2685.6399999999994,-2.974524643574054
21,2026-01-21 22:59:59,89763.51,2026-01-22 12:59:59,90021.09,14.0,257.58000000000175,0.2869540195119395
22,2026-01-23 03:59:59,89924.78,2026-01-23 09:59:59,88977.72,6.0,-947.0599999999977,-1.0531691042224376
23,2026-01-23 17:59:59,90600.0,2026-01-24 01:59:59,89550.24,8.0,-1049.7599999999948,-1.158675496688736
24,2026-01-26 06:59:59,87937.44,2026-01-26 20:59:59,87629.22,14.0,-308.22000000000116,-0.35049917304847755
25,2026-01-26 21:59:59,88064.69,2026-01-27 10:59:59,87786.53,13.0,-278.1600000000035,-0.315858717040852
26,2026-01-27 20:59:59,89396.16,2026-01-28 22:59:59,89396.15,26.0,-0.010000000009313226,-1.1186162816516086e-05
27,2026-01-30 16:59:59,83149.0,2026-01-31 08:59:59,83074.07,16.0,-74.92999999999302,-0.0901153351212799
28,2026-02-01 09:59:59,79034.45,2026-02-01 14:59:59,78211.12,5.0,-823.3300000000017,-1.0417355975780205
29,2026-02-02 11:59:59,77759.99,2026-02-03 06:59:59,78594.17,19.0,834.179999999993,1.0727624836371417
30,2026-02-03 08:59:59,78747.96,2026-02-03 09:59:59,78400.01,1.0,-347.95000000001164,-0.44185271593068776
31,2026-02-04 06:59:59,76652.68,2026-02-04 13:59:59,74867.0,7.0,-1785.679999999993,-2.329572821198154
32,2026-02-06 09:59:59,65799.55,2026-02-07 07:59:59,68087.14,22.0,2287.5899999999965,3.476604323281841
33,2026-02-07 20:59:59,69631.18,2026-02-09 01:59:59,70369.53,29.0,738.3500000000058,1.0603726663830857
34,2026-02-09 07:59:59,70422.59,2026-02-09 08:59:59,69873.99,1.0,-548.5999999999913,-0.7790113939291232
35,2026-02-09 19:59:59,70957.01,2026-02-10 05:59:59,69447.64,10.0,-1509.3699999999953,-2.127161220575663
36,2026-02-10 19:59:59,69062.01,2026-02-10 23:59:59,68841.29,4.0,-220.72000000000116,-0.3195968376825424
37,2026-02-11 21:59:59,67811.17,2026-02-12 09:59:59,67550.47,12.0,-260.6999999999971,-0.3844499364927594
38,2026-02-12 11:59:59,68076.01,2026-02-12 17:59:59,65413.99,6.0,-2662.019999999997,-3.9103643118919527
39,2026-02-13 06:59:59,66359.28,2026-02-15 02:59:59,69480.01,44.0,3120.729999999996,4.702778571437176
40,2026-02-15 05:59:59,70267.61,2026-02-15 13:59:59,68930.0,8.0,-1337.6100000000006,-1.903593988752429
41,2026-02-16 09:59:59,68992.71,2026-02-16 15:59:59,67539.52,6.0,-1453.1900000000023,-2.106294998413604
42,2026-02-17 00:59:59,68878.27,2026-02-17 08:59:59,68177.53,8.0,-700.7400000000052,-1.0173600469349844
43,2026-02-18 06:59:59,67850.52,2026-02-18 14:59:59,67223.76,8.0,-626.7600000000093,-0.9237364724692004
44,2026-02-19 06:59:59,67150.12,2026-02-19 13:59:59,65913.37,7.0,-1236.75,-1.8417688605768687
45,2026-02-19 21:59:59,66916.51,2026-02-20 15:59:59,67582.95,18.0,666.4400000000023,0.9959276118853215
46,2026-02-20 19:59:59,67646.03,2026-02-22 00:59:59,67946.0,29.0,299.97000000000116,0.44344065719747505
47,2026-02-23 13:59:59,66132.66,2026-02-23 18:59:59,64635.49,5.0,-1497.1700000000055,-2.2638889770954402
48,2026-02-24 17:59:59,64219.71,2026-02-26 07:59:59,67825.04,38.0,3605.3299999999945,5.61405524877019
49,2026-02-27 05:59:59,67724.99,2026-02-27 11:59:59,66126.99,6.0,-1598.0,-2.3595426149195444
50,2026-02-28 03:59:59,65797.42,2026-02-28 06:59:59,63216.01,3.0,-2581.409999999996,-3.9232693318370178
51,2026-02-28 17:59:59,65442.62,2026-03-01 10:59:59,66467.06,17.0,1024.439999999995,1.5654018741914597
52,2026-03-02 04:59:59,66862.12,2026-03-02 13:59:59,65440.01,9.0,-1422.1099999999933,-2.126929268769811
53,2026-03-02 15:59:59,69130.2,2026-03-03 06:59:59,68106.73,15.0,-1023.4700000000012,-1.4804962230689354
54,2026-03-03 19:59:59,68435.0,2026-03-05 04:59:59,72815.7,33.0,4380.699999999997,6.401256666910203
55,2026-03-05 13:59:59,72467.79,2026-03-05 16:59:59,71305.92,3.0,-1161.8699999999953,-1.6032916141088274
56,2026-03-08 10:59:59,67904.14,2026-03-08 16:59:59,66872.15,6.0,-1031.9900000000052,-1.5197747884002437
57,2026-03-09 06:59:59,67267.18,2026-03-10 21:59:59,69763.01,39.0,2495.8300000000017,3.7103235188393535
58,2026-03-11 15:59:59,70227.91,2026-03-12 02:59:59,69286.56,11.0,-941.3500000000058,-1.3404214933920229
59,2026-03-12 12:59:59,70381.8,2026-03-13 19:59:59,71189.95,31.0,808.1499999999942,1.1482371863180456
60,2026-03-14 21:59:59,70799.99,2026-03-15 19:59:59,71549.94,22.0,749.9499999999971,1.0592515620411769
61,2026-03-15 21:59:59,72109.58,2026-03-17 08:59:59,74188.38,35.0,2078.800000000003,2.8828347079542036
62,2026-03-17 19:59:59,74512.17,2026-03-18 03:59:59,74446.14,8.0,-66.02999999999884,-0.08861639648932361
63,2026-03-19 22:59:59,70183.99,2026-03-20 14:59:59,69731.21,16.0,-452.77999999999884,-0.6451328857193768
64,2026-03-21 00:59:59,70682.19,2026-03-21 16:59:59,70301.66,16.0,-380.52999999999884,-0.5383675859505751
65,2026-03-23 07:59:59,68333.16,2026-03-24 04:59:59,70372.44,21.0,2039.2799999999988,2.9843197651037925
66,2026-03-24 09:59:59,71316.97,2026-03-24 15:59:59,69873.04,6.0,-1443.9300000000076,-2.0246653776794044
67,2026-03-25 01:59:59,70677.18,2026-03-25 18:59:59,70810.34,17.0,133.1600000000035,0.18840593243816958
68,2026-03-28 03:59:59,66240.0,2026-03-29 01:59:59,66569.22,22.0,329.22000000000116,0.4970108695652191
69,2026-03-29 07:59:59,66671.0,2026-03-29 08:59:59,66724.0,1.0,53.0,0.07949483283586567
70,2026-03-30 04:59:59,67616.29,2026-03-30 18:59:59,66653.46,14.0,-962.8299999999872,-1.4239615926871871
71,2026-03-31 03:59:59,67704.74,2026-03-31 10:59:59,66363.38,7.0,-1341.3600000000006,-1.981190681775014
